Category,English,Bahasa Indonesia,Bengali,Burmese,Bulgarian,Simplified Chinese,Traditional Chinese,Filipino,French,Japanese,Khmer,German,Gujarati,Hakka,Hebrew,Hokkien,Hindi,Italian,Korean,Malay,Lao,Malayalam,Marathi,Nepalese,Punjabi,Portuguese,Russian,Sinhalese,Spanish,Swahili,Tamil,Telugu,Thai,Turkish,Vietnamese,Urdu
language native,English,Bahasa Indonesia,বাংলা,ဗမာ,български,简体中文,繁體中文,filipino,Français,日本語,ភាសាខ្មែរ,Deutsch,,,עברית,福建,हिन्दी,Italiano,한국어,Bahasa Melayu,ພາສາລາວ,മലയാളം,मराठी,नेपाली,ਪੰਜਾਬੀ ਦੇ,Português,русский,සිංහල,Español,Kiswahili,தமிழ்,తెలుగు,ไทย,Türk,Tiếng Việt,اردو
language code,en,id,bn,my,bg,zh-hans,zh-hant,pn,fr,ja,km,de,gu,ha,he,hokkien,hi,it,kr,ms,lo,ml,mr,nepalese,pa,pt,ru,si,es,sw,ta,te,th,tr,vi,ur
Audio link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greetings,I am a doctor. I do not speak your language. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Saya adalah seorang dokter. Saya tidak bisa berbicara dalam bahasa Indonesia. Saya akan berkomunikasi dengan anda menggunakan website ini. Tolong jawab saya dalam bahasa Inggris sebanyak mungkin sebisa anda. Terima kasih.,"আপনি সিঙ্গাপুরে যে জায়গাতে থাকেন, তার নাম কি?",ကျနော််ဆရာဝန်တယောက်ပါ။ ဗမာစကားမပြောတတ်ပါဘူး ဒီwebsiteနဲ့အပြန်အလှန်စကားပြောပါမယ်။ အင်္ဂလိပ်လိုအတတ်နိုင်ဆုံ‌ေဖြ‌ပေးပါ။,"Аз съм доктор. Не говоря български. Ще комуникирам с вас, използвайки този уебсайт. Отговаряйте ми на английски доколкото е възможно. Благодаря.",我是医生。我不会讲中语。我会用这个网站跟你沟通。你尽量用英语回答。谢谢,我是一名醫生。 我不會說華語。 我會用這網頁來與您溝通。 希望您能盡量用英語回答。 謝謝,"Ako po ay isang doktor. Hindi ako marunong magsalita ng Filipino. Makikipag-usap ako sayo gamit ang website na ito. Kung maaari, sagutin mo ako sa wikang Ingles. Maraming salamat. ",Je suis médecin. Je ne parle pas Français. Je vais communiquer avec vous en utilisant ce site web. Répondez-moi en anglais autant que possble. Merci.,私は医者です。日本語が話せません。このサイトを使ってあなたとコミュニケーションを取ります。できるだけ英語で答えてください。よろしくお願い致します。,ខ្ញំុជាគ្រូពេទ្យ​​ ហើយខ្ញំុមិនអាចនិយាយភាសាខ្មែរបានទេ​​ ។ ខ្ញំុនឺងប្រើប្រាស់​គេហទំព័រនេះដើម្បីធ្វើរការទំនាក់ទំនងជាមួយអ្នក ។​​ សូមអ្នកឆ្លើយតបជាភាសាអង់គ្លេសតាមដែលអ្នកអាចនិយាយបាន ។​អរគុណ ។ ,Ich bin ein Arzt. Ich spreche deine Sprache nicht. Ich werde mit Ihnen kommunizieren dieser Website nutzen. Antwortet mich auf Englisch so viel wie möglich. Danke.,"હું ડૉક્ટર છું. મને ગુજરાતી નથી આવડતી. હું આ વેબસાઈટ મારફતે તમારી સાથે વાત કરીશ. શક્ય હોઈ ત્યાં સુધી, તમે ઇંગલિશ માં જવાબ આપજો. આભાર",,אֲנִי רוֹפֵא/רוֹפְאָה. אֲנִי לֹא דּוֹבֵר/דּוֹבֶרֶת  אֶת שְׂפָתְךָ/שְׂפָתֵךְ. אֲתַקְשֵׁר אִתְּךָ/אִיתָּךְ בְּאֶמְצָעוּת אֲתָר זֶה. עֲנֵה/עָנִי לִי בְּאַנְגְּלִית כַּמָּה שֶׁתּוּכַל/שֶׁתּוּכְלִי. תּוֹדָה.,,"मैं एक डॉक्टर हूँ | मुझे हिंदी नहीं आती हैं | मैं इस वेबसाइट के द्वारा आपसे बात करुंगा य करुंगी | जितना हो सके, आप अंग्रेजी में जवाब दीजियेगा | धन्यवाद  ",Sono un medico. Non parlo italiano. Di impegnarsi a comunicare con te utilizzando questo sito web. Rispondimi in inglese il più possibile. Grazie.,저는 의사입니다. 저는 한국말을 할줄 모릅니다. 이 사이트를 이용해서 의사소통을 할겁니다. 최대한 영어로 답변 해주시면 감사하겠습니다,"Saya doktor.
Saya tak boleh cakap Melayu.
Saya akan cakap menerusi laman web ini.
Tolong jawab dalam Inggeris sebanyak mungkin.
Terima kasih.","ຂ້າພະເຈົ້າແມ່ນທ່ານໝໍ. ຂ້າພະເຈົ້າບໍ່ສາມາດເວົ້າພາສາລາວໄດ້. ຂ້າພະເຈົ້າຈະສື່ສານກັບທ່ານຜ່ານເວັບໄຊນີ້. ຖ້າເປັນໄປໄດ້, ກະລຸນາຕອບເປັນພາສາອັງກິດ. ຂໍຂອບໃຈ",,मी एक डॉक्टर आहे. मला तुमच्या भाषेत बोलता येत नाही. मी हे संकेतस्थळ वापरून तुमच्याशी संवाद / संभाषण करीन.  शक्य असेल तर मला इंग्रजी भाषेतून उत्तरे द्या. धन्यवाद .,म डाक्टर हुन्. मलाई  नेपाली  बोल्न आउदैन. म तपाइँसंग  यो  वेबसाइट मार्फत कुरा गर्नेछु. मलाई  सकेसम्म  अंग्रेजीमा  जवाफ  दिनु  होला. धन्यबाद. ,"ਮੈ ਇੱਕ ਡਾਕਟਰ ਹਾਂ. ਮੈਂ ਪੰਜਾਬੀ ਨਹੀਂ ਬੋਲਦਾ। ਮੈਂ ਇਸ ਵੈਬਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਦਿਆਂ ਤੁਹਾਡੇ ਨਾਲ ਗੱਲ 
 ਕਰਾਂਗਾ. ਜਿੰਨਾ ਹੋ ਸਕੇ ਅੰਗਰੇਜ਼ੀ ਵਿਚ ਜਵਾਬ ਦਿਓ. ਤੁਹਾਡਾ ਧੰਨਵਾਦ.","Sou um médico. Eu não falo espanhol. Vou comunicar com você usando este site. Responda-me em Inglês, tanto quanto possível. Obrigado.",Я врач. Я не говорю по-русски. Я буду общаться с вами через этот сайт. Постарайтесь отвечать на английском языке максимально информативно. Спасибо.,,Soy doctor. No hablo español. Me comunicaré contigo usando esta página web. Contéstame en inglés todo lo que te sea posible. Gracias,,நான் ஒரு மருத்துவர். எனக்கு தமிழ் பேசத் தெரியாது. நான் இந்த இணையப்பக்கத்தின் மூலம் உங்களுடன் பேச போகிறேன். உங்களால் முடிந்த அளவிற்க்கு ஆங்கிலத்தில் பதில் சொல்லுங்கள்.,నేను ఒక వైద్యుడిని. నేను తెలుగు మాట్లాడలేను. ఈ వెబ్‌సైట్‌ను ఉపయోగించి నేను మీతో మాట్లాడతాను. నాకు వీలైనంతవరకు ఇంగ్లీషులో సమాధానం ఇవ్వండి. ధన్యవాదాలు.,ฉันเป็นหมอและฉันพูดไทยไม่ได้ แต่ฉันจะสื่อสารกับคุณผ่านเว็บไซต์นี้ โปรดตอบคำถามเป็นภาษาอังกฤษให้มากที่สุด ขอบคุณ,Ben doktorum. Ben Bulgar konuşmuyorum. Bunu web sitesini kullanarak iletişim kurar. mümkün olduğunca İngilizce olarak cevap ver. Teşekkür ederim.,Tôi là bác sĩ. Tôi không biết tiếng Việt. Tôi sẽ sử dụng trang web này để nói chuyện với anh/ chị. Hãy cố gắng trả lời tôi bằng tiếng Anh càng nhiều càng tốt. Xin cảm ơn.,
Greetings,What's your name?,Siapa nama anda?,আপনার কি কোনো বন্ধু ওখানে থাকেন যার কোভিড সংক্রমণ হয়েছে?,နာမည်ဘယ်လိုခေါ််ပါသလဲ။,Как се казвате? ,请问您的名字是？,請問您姓名是?/ 請問我要如何稱呼您呢?,Ano ang pangalan mo?,Comment vous appelez-vous ?  ,お名前は何ですか？,តើអ្នកមានឈ្មោះអ្វី​ ?,Wie heißen Sie?,તમારૂ નામ શું છે?,,מָה שִׁמְךָ/שְׁמֵךְ?,,आपका  नाम क्या हैं ?,Come ti chiami?,성함이 어떻게 되세요?,"Nama siapa?",ທ່ານຊື່ຫຍັງ?,,तुझे / तुमचे नाव काय आहे?.  ,तपाईको नाम के हो?,ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?,Qual o seu nome?,Как вас зовут?,,¿Como te llamas?,,"இந்த கொரோனா கிருமித்தொற்று உங்களை பயத்தில் ஆழ்த்தியிருக்கலாம் என்பதை எங்களால் புரிந்துக்கொள்ள முடிகின்றது. எங்களுடைய மருத்துவர்கள் உங்களுக்கு மிகச்சிறந்த முறையில் உதவி அளிக்கவே இந்த கேள்விகளை கேட்கப் போகின்றார்கள்.  நீங்கள் இந்த கேள்விகளுக்கு உங்களால் முடிந்தவரை பதிலளித்தாள் மட்டுமே, எங்களுடைய  மருத்துவர்களால் உங்களுக்கு சிறந்த உதவியையும் சிகிச்சையையும் அளிக்க முடியும்.  அதனால் தயவுசெய்து  எங்களுடன் ஒத்துழைக்குமாறு உங்களை தாழ்மையுடன் கேட்டுக்கொள்கின்றோம்.",మీ పేరు ఏమిటి?,คุณชื่ออะไร,Adınız ne?,"Anh/chị tên là gì? (Use anh for male, chị for female)",
Greetings,Please give me your Identification Card / Work Permit,Tolong berikan saya Work Permit atau izin bekerja anda,আপনারা কতজন মিলে এক রুমে থাকেন?,Identitification Card / Work Permit ‌‌ပြောပါ။,"Моля, дайте ми лична карта, паспорт или разрешително за работа.",请给我你的身份证或工作准证,請把您的身份證或工作准證交給我。,Maaari mo bang ibigay sa akin ang iyong Identification Card o Work Permit?,Veuillez me remettre votre carte d'identité/permis de travail s'il vous plaît.,身分証・労働許可証を見せてください。,សូមផ្តល់អត្តសញ្ញាណប័ណ្ណ​​ /ប័ណ្ណការងារ របស់លោកអ្នក ,Bitte geben Sie mir Ihre Identitification Karte / Arbeitserlaubnis,તમારું ID કાર્ડ (ઓળખપત્ર) અથવા કામ નું પરમિટ દેખાડજો,,אָנָּא תֵּן/תְּנִי לִי תְּעוּדָה מְזַהָה/אִישּׁוּר עֲבוֹדָה.,,मुझे आपका ID कार्ड या काम का permit दीजिये ,Si prega di darmi il tuo Identitification carta / permesso di lavoro,신분증을 보여주십시오,Tolong beri saya Kad Pengenalan / Permit Kerja anda.,ກະລຸນາສະແດງບັດປະຈຳຕົວ ຫຼື ໃບອະນຸຍາດເຮັດວຽກຂອງທ່ານ,,कृपया तुमचे ओळखपत्र / कामाचा परवाना (परवानगी पत्र) दाखवा. ,तपाइँ  को परिचय कार्ड / कामको परमिट दिनुस.,ਕਿਰਪਾ ਕਰਕੇ ਮੈਨੂੰ ਆਪਣਾ ਸ਼ਨਾਖਤੀ ਕਾਰਡ / ਵਰਕ ਪਰਮਿਟ ਦਿਓ|,"Por favor, dê-me sua Autorização de Trabalho / Identitification cartão","Дайте мне своё удостоверение личности / разрешение на работу, пожалуйста.",,"Permíteme ver tu identificación/permiso de trabajo, por favor.",,உங்களுடைய பெயர் என்ன?,దయచేసి మీ FIN లేదా IC నంబర్ ఇవ్వండి,กรุณาแสดงบัตรประชาชน/ ใบอนุญาตทำงาน,Bana Identitification Kart / Çalışma İzni verin,"Làm ơn cho tôi xem giấy chứng từ, thẻ căn cước, giấy phép lao động.",
Contact with Others,"In the last 14 days, did you meet anyone who has coronavirus?","Dalam 14 hari terakhir, apakah anda bertemu dengan seseorang yang terjangkit coronavirus?","গত ১৪ দিনে, আপনি কি কারোর সাথে দেখা করেছেন যার কারোনাভাইরাস আছে?",လွန်ခဲ.‌သော ၁၄ရက်အတွင်း ကိုရိုနာဗိုင်းရပ်စ်‌ေရောဂါရှိသူနှင်. ထိတွေ.ဘူးခြင်းရှိပါသလား။,"За последните 14 дни, срещали ли сте се с някого с коронавирус?","过去十四天, 你有跟疫情病患者接触吗？","在過去的十四天內,您是否與患有冠狀型病毒的病人接觸過?","Sa nakaraang labing-apat na araw, ikaw ba ay nakipagkita sa taong na nag positibo sa coronavirus?","Au cours de ces 14 derniers jours, avez-vous rencontré quelqu'un qui a le coronavirus ?",過去14日以内に、新型コロナウイルス感染者と接触しましたか？,ក្នុងរយៈពេល​ ១៤​ ថ្ងៃចុងក្រោយ តើអ្នកបានជួបនរណាម្នាក់ដែលមានជំងឺកូរ៉ូណា​​ដែលទេ?,"In den letzten 14 Tagen hat treffen Sie jemanden, der corona hat?",છેલ્લા 14 દિવસોમાં તમે કોરોના વાયરસ ના કોઈ દર્દીને મળ્યા છો?,,הַאִם נִפְגַּשְׁתָּ/נִפְגַּשְׁתְּ עִם מִישֶׁהוּ/י שֶׁיֵּשׁ לוֹ/ה קוֹרוֹנָה בַּשְּׁבוּעַיִים הָאַחֲרוֹנִים?,,पिछले 14 दिनों में क्या आप किसी  कोरोना वायरस coronavirus के मरीज़ से मिलें हैं?,"Negli ultimi 14 giorni, hai incontrato qualcuno che ha coronavirus?",최근 14일 동안 코로나 바이러스 확진자와 접촉한 적이 있으세요?,"Sepanjang 2 minggu lepas, anda ada bertemu dengan sesiapa yang dijangkiti koronavirus?","ພາຍໃນ 14 ມື້ມານີ້, ທ່ານໄດ້ສຳຜັດກັບຜູ້ມີເຊື້ອຈຸລະໂລກໂຄໂລນາບໍ?",,मागील १४ दिवसात कोरोनाबाधित रुग्णाच्या संपर्कात आलात का?. ,"बिगत १४  दिनदेखि, तपाइले कोरोना भाइरस लागेको कुनै मानिसलाई भेट्नु भएको छ?","ਪਿਛਲੇ 14 ਦਿਨਾਂ ਵਿੱਚ, ਕੀ ਤੁਸੀਂ ਕਿਸੇ ਨੂੰ ਮਿਲਿਆ ਜਿਸ ਨੂੰ ਕੋਰੋਨਾਵਾਇਰਸ ਹੈ?","Nos últimos 14 dias, você conheceu quem tem coronavírus?","В течение последних 14 дней, вы встречали кого-нибудь, у кого есть коронавирус?",,¿Te has visto con alguien que tenga coronavirus en los últimos 14 días?,,தயவுசெய்து உங்களுடைய வேலை அனுமதி (Work Permit) அட்டையைக் காட்டுங்கள்.,నేను ఒక వైద్యుడిని. నేను తెలుగు మాట్లాడలేను. ఈ వెబ్‌సైట్‌ను ఉపయోగించి నేను మీతో మాట్లాడతాను. నాకు వీలైనంతవరకు ఇంగ్లీషులో సమాధానం ఇవ్వండి. ధన్యవాదాలు.,ในช่วง 14 วันที่ผ่านมาได้พบกับผู้ติดเชื้อโคโรน่าหรือไม่,"Son 14 gün içinde, coronavirüs olan herkes tanıştınız?","Trong vòng 14 ngày qua, anh chị có gặp ai nhiễm covid không?",
Contact with Others,Who? What is your relationship with them?,Siapa namanya? Apa hubungan anda dengan orang tersebut?,কে? আপনাদের কি সম্পর্ক?,ရောဂါရှိသူ၏အမည်နှင့် ထိုသူနှင်.မည်သို့ပါတ်သက် သည်ကိုဖေါ်််််ပြပါ။,С кого? Каква е връзката ви с тях?,谁？你跟他们是什么关系？,"如果有的話,請問您與病人是什麼關係呢?",Sino sila at ano ang relasyon mo sa kanila?,Qui ? Quelle est votre relation avec eux ?,その人は誰ですか？その人とはどんな関係ですか？,តើជាអ្នកណា​? នឹងត្រូវអ្វីជាមួយអ្នក ?,WHO? Was ist Ihre Beziehung zu ihnen?,કોણ? તમે એમને કઈ રીતે ઓળખો છો?,,עִם מִי? מָה הַקֶּשֶׁר שֶׁלְּךָ/שֶׁלָּךְ אֵלָיו/ה?,,कौन? आप उनको कैसे जानते हैं?,Oms? Qual è il tuo rapporto con loro?,누구를 만났어요? 그들과 어떤관계가 있으세요?,Siapa? Apakah hubungan anda dengan dia /  mereka?,ລາວແມ່ນໃຜ? ມີຄວາມສຳພັນຫຍັງນຳທ່ານ?,,कोणाच्या? तुमचे त्यांच्याबरोबर काय नाते आहे?,को हुन् ? तपाइको नाता के पर्छ त्यो मानिस संग?,ਤੁਸੀਂ ਕਿਸ ਨੂੰ ਮਿਲੇ? ਉਨ੍ਹਾਂ ਨਾਲ ਤੁਹਾਡਾ ਕੀ ਸੰਬੰਧ ਹੈ?,Who? Qual é a sua relação com eles?,Кто это? Вы знакомы? Какие у вас отношения? ,,¿Quién? ¿Cuál es su relación con ellos?,,உங்களுடைய வேலையிடத்தின் பெயர் (கம்பேனியின்/நிறுவனத்தின் பெயர்) என்ன?,ఎవరిని కలిశారు? వారితో మీ సంబంధం ఏమిటి?,กรุณาระบุความสัมพันธ์กับผู้ติดเชื้อโคโรน่า,DSÖ? onlarla ilişkiniz nedir?,Người đấy là ai? Mối quan hệ của anh/chị với người ấy như thế nào?,
Contact with Others,How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),Berapa hari lalu anda bertemu dengan orang tersebut?,কত দিন আগে দেখা হয়েছে?,လွန်ခဲ့‌သော ဘယ်နှရက်ခန်.က ‌ထိုသူနှင်.‌တွေ.ဆုံခဲ.ပါသလဲ။ (‌အောက်တွင်ဖေါ်် ပြထား‌သောဇယားအတွင်း နံပါတ်ကိုရွေးချယ်ပေးနိုင်ပါသည်။,Преди колко дни се срещнахте?,你在几天前遇见他们？,您是在幾天前與病人接觸的呢? ,Ilang araw na ang nakaraan simula ng huli mo silang nakita? ,Il y a combien de jours que vous vous êtes rencontrés ?,その人とは何日前に会いましたか？,តើអ្នកបានជួបពួកគាត់បានបុ៉ន្មានថ្ងៃមុន ?,"Wie viele Tage haben Sie sich ihnen? (Es gibt eine Reihe Diagramm in der Seitenleiste, wenn sie nicht beantworten kann)","એમને મળ્યા ને કેટલા દિવસો થયા? બાજુ માં નંબર ચાર્ટ છે, એનો ઉપયોગ પંણ કરી શકો છો",,לִפְנֵי כַּמָּה יָמִים  נִפְגַּשְׁתָּ/נִפְגַּשְׁתְּ אִיתּוֹ/ה? (יֵשׁ טַבְלָה מְמֻוסְפֶּרֶת בַּצַּד אִם הוּא/הִיא לֹא יָכוֹל/יְכוֹלָה לַעֲנוֹת).,,"आप उन्हें कितने दिन पहले मिले थे? (अगर आप ठीक से नहीं जानते, तो साइड में number देखिये )","Quanti giorni fa, li hai conosciuti? (C'è un grafico il numero nella barra laterale se non possono rispondere)",만난 사람들은 몇일전에 만나셨읍니까? 말을 하시기 불편하시면 손으로 가르키십시오,Berapa hari lepas jumpa dia / mereka?,ເປັນເວລາຈັກມື້ແລ້ວທີ່ທ່ານໄດ້ພົບພວກເຂົາ?,,किती दिवसांपूर्वी तुम्ही त्यांना भेटलात? (त्यांना उत्तर देता येत नसेल तर बाजूला दिलेला अंकांचा तक्ता  दाखवा.),कति दिन अघि भेट्नु भएको? ,ਕਿੰਨੇ ਦਿਨ ਪਹਿਲਾਂ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਮਿਲਿਆ ਸੀ?,"Há quantos dias você encontrá-los? (Há um gráfico de número na barra lateral, se eles não podem responder)","Сколько дней назад вы встречались?
",,Hace cuánto tiempo ?,,உங்களுடைய சூப்பர்வைசர் அல்லது முதலாளியின் பெயர் என்ன?  அவருடைய தொடர்பு எண் என்ன?,ఎన్ని రోజుల క్రితం మీరు వారిని కలిశారు?,เป็นเวลากี่วันแล้วตั้งแต่วันที่ไปเจอพวกเขามา,Kaç gün önce onları tanıştınız? (Bir sayı grafik onlar cevap veremez eğer kenar çubuğunda yoktur),Anh/ chị gặp người ấy cách đây bao lâu rồi?,
